VOLTAGE=-57.453624133849061, I_K=-0.000002774883298, I_L=-0.627550240003741, I_Na=0.042275061262594, I_T=0.122384561236858, H=0.982224106041844, R=0.001178038138969
VOLTAGE=-57.458251977541074, I_K=-0.000002771585557, I_L=-0.627318793307547, I_Na=0.042197549303740, I_T=0.122339646387737, H=0.982228254710949, R=0.001178213797029
VOLTAGE=-57.462878728184670, I_K=-0.000002768268729, I_L=-0.627087401122946, I_Na=0.042120196496575, I_T=0.122294908535710, H=0.982232439186187, R=0.001178391205630
VOLTAGE=-57.467504382971050, I_K=-0.000002764932959, I_L=-0.626856063590767, I_Na=0.042043002531746, I_T=0.122250347354121, H=0.982236659335080, R=0.001178570363607
VOLTAGE=-57.472128939099179, I_K=-0.000002761578393, I_L=-0.626624780851448, I_Na=0.041965967100302, I_T=0.122205962516777, H=0.982240915025436, R=0.001178751269794
VOLTAGE=-57.476752393775762, I_K=-0.000002758205174, I_L=-0.626393553045041, I_Na=0.041889089893686, I_T=0.122161753697944, H=0.982245206125344, R=0.001178933923030
VOLTAGE=-57.481374744215245, I_K=-0.000002754813448, I_L=-0.626162380311212, I_Na=0.041812370603744, I_T=0.122117720572351, H=0.982249532503181, R=0.001179118322154
VOLTAGE=-57.485995987639789, I_K=-0.000002751403358, I_L=-0.625931262789238, I_Na=0.041735808922722, I_T=0.122073862815187, H=0.982253894027604, R=0.001179304466006
VOLTAGE=-57.490616121279267, I_K=-0.000002747975050, I_L=-0.625700200618011, I_Na=0.041659404543267, I_T=0.122030180102101, H=0.982258290567553, R=0.001179492353429
VOLTAGE=-57.495235142371236, I_K=-0.000002744528666, I_L=-0.625469193936037, I_Na=0.041583157158430, I_T=0.121986672109202, H=0.982262721992252, R=0.001179681983268
VOLTAGE=-57.499853048160944, I_K=-0.000002741064351, I_L=-0.625238242881438, I_Na=0.041507066461663, I_T=0.121943338513060, H=0.982267188171207, R=0.001179873354369
VOLTAGE=-57.504469835901311, I_K=-0.000002737582247, I_L=-0.625007347591953, I_Na=0.041431132146822, I_T=0.121900178990704, H=0.982271688974205, R=0.001180066465581
VOLTAGE=-57.509085502852905, I_K=-0.000002734082498, I_L=-0.624776508204934, I_Na=0.041355353908168, I_T=0.121857193219621, H=0.982276224271316, R=0.001180261315754
VOLTAGE=-57.513700046283951, I_K=-0.000002730565247, I_L=-0.624545724857355, I_Na=0.041279731440367, I_T=0.121814380877758, H=0.982280793932890, R=0.001180457903740
VOLTAGE=-57.518313463470292, I_K=-0.000002727030637, I_L=-0.624314997685802, I_Na=0.041204264438490, I_T=0.121771741643521, H=0.982285397829559, R=0.001180656228392
VOLTAGE=-57.522925751695411, I_K=-0.000002723478810, I_L=-0.624084326826485, I_Na=0.041128952598016, I_T=0.121729275195772, H=0.982290035832236, R=0.001180856288567
VOLTAGE=-57.527536908250376, I_K=-0.000002719909908, I_L=-0.623853712415229, I_Na=0.041053795614830, I_T=0.121686981213833, H=0.982294707812113, R=0.001181058083120
VOLTAGE=-57.532146930433868, I_K=-0.000002716324074, I_L=-0.623623154587481, I_Na=0.040978793185225, I_T=0.121644859377483, H=0.982299413640663, R=0.001181261610912
VOLTAGE=-57.536755815552134, I_K=-0.000002712721449, I_L=-0.623392653478307, I_Na=0.040903945005903, I_T=0.121602909366958, H=0.982304153189639, R=0.001181466870803
VOLTAGE=-57.541363560919010, I_K=-0.000002709102174, I_L=-0.623162209222393, I_Na=0.040829250773975, I_T=0.121561130862951, H=0.982308926331073, R=0.001181673861656
VOLTAGE=-57.545970163855877, I_K=-0.000002705466390, I_L=-0.622931821954050, I_Na=0.040754710186961, I_T=0.121519523546613, H=0.982313732937275, R=0.001181882582335
VOLTAGE=-57.550575621691671, I_K=-0.000002701814239, I_L=-0.622701491807206, I_Na=0.040680322942792, I_T=0.121478087099548, H=0.982318572880837, R=0.001182093031707
VOLTAGE=-57.555179931762851, I_K=-0.000002698145862, I_L=-0.622471218915416, I_Na=0.040606088739811, I_T=0.121436821203819, H=0.982323446034625, R=0.001182305208639
VOLTAGE=-57.559783091413394, I_K=-0.000002694461398, I_L=-0.622241003411858, I_Na=0.040532007276772, I_T=0.121395725541944, H=0.982328352271786, R=0.001182519112000
VOLTAGE=-57.564385097994801, I_K=-0.000002690760987, I_L=-0.622010845429330, I_Na=0.040458078252840, I_T=0.121354799796896, H=0.982333291465744, R=0.001182734740664
VOLTAGE=-57.568985948866057, I_K=-0.000002687044771, I_L=-0.621780745100260, I_Na=0.040384301367595, I_T=0.121314043652103, H=0.982338263490201, R=0.001182952093502
VOLTAGE=-57.573585641393628, I_K=-0.000002683312887, I_L=-0.621550702556697, I_Na=0.040310676321030, I_T=0.121273456791448, H=0.982343268219137, R=0.001183171169389
